id,merchant_id,name,email,phone
cust_demo_001,m_demo,Aarav Verma,cust001_m_demo@example.local,9831980933
cust_demo_002,m_demo,Karan Kumar,cust002_m_demo@example.local,9925276600
cust_demo_003,m_demo,Rohan Verma,cust003_m_demo@example.local,9415143362
cust_demo_004,m_demo,Amit Gupta,cust004_m_demo@example.local,9587182120
cust_demo_005,m_demo,Aarav Kumar,cust005_m_demo@example.local,9637500247
cust_demo_006,m_demo,Sai Joshi,cust006_m_demo@example.local,9214257751
cust_demo_007,m_demo,Kavya Joshi,cust007_m_demo@example.local,9753876785
cust_demo_008,m_demo,Aisha Gupta,cust008_m_demo@example.local,9501486939
cust_demo_009,m_demo,Sai Joshi,cust009_m_demo@example.local,9936043811
cust_demo_010,m_demo,Pooja Sharma,cust010_m_demo@example.local,9743111853
cust_demo_011,m_demo,Rohan Nair,cust011_m_demo@example.local,9120912992
cust_demo_012,m_demo,Arjun Singh,cust012_m_demo@example.local,9992994062
cust_demo_013,m_demo,Kavya Patel,cust013_m_demo@example.local,9162196678
cust_demo_014,m_demo,Diya Mehta,cust014_m_demo@example.local,9184564737
cust_demo_015,m_demo,Aditya Nair,cust015_m_demo@example.local,9976198296
cust_demo_016,m_demo,Aditya Joshi,cust016_m_demo@example.local,9922308461
cust_demo_017,m_demo,Reyansh Gupta,cust017_m_demo@example.local,9808402051
cust_demo_018,m_demo,Rahul Joshi,cust018_m_demo@example.local,9277303722
cust_demo_019,m_demo,Ananya Joshi,cust019_m_demo@example.local,9751325257
cust_demo_020,m_demo,Amit Patel,cust020_m_demo@example.local,9679064766
cust_demo_021,m_demo,Aisha Kumar,cust021_m_demo@example.local,9528414718
cust_demo_022,m_demo,Priya Nair,cust022_m_demo@example.local,9655742829
cust_demo_023,m_demo,Sneha Verma,cust023_m_demo@example.local,9366186631
cust_demo_024,m_demo,Diya Verma,cust024_m_demo@example.local,9463016614
cust_demo_025,m_demo,Aarav Mehta,cust025_m_demo@example.local,9694768704
